siteID,testResult,testPathogenName,taxonID,testResult_mos,collectDate
HARV,Negative,Alphavirus sp.,ALPHV,0,2019-05-30T00:00:00Z
HARV,Negative,Flavivirus sp.,FLAV1,0,2019-05-30T00:00:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,0,2019-05-30T00:00:00Z
HARV,Negative,Flavivirus sp.,FLAV1,0,2019-05-30T00:00:00Z
HARV,Negative,Alphavirus sp.,ALPHV,0,2019-05-30T00:00:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,0,2019-05-30T00:00:00Z
HARV,Negative,Flavivirus sp.,FLAV1,0,2019-05-30T00:00:00Z
HARV,Negative,Alphavirus sp.,ALPHV,0,2019-05-30T00:00:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,0,2019-05-30T00:00:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,0,2019-05-30T00:00:00Z
HARV,Negative,Alphavirus sp.,ALPHV,0,2019-05-30T00:00:00Z
HARV,Negative,Flavivirus sp.,FLAV1,0,2019-05-30T00:00:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,0,2019-05-30T00:00:00Z
HARV,Negative,Alphavirus sp.,ALPHV,0,2019-05-30T00:00:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,0,2019-05-30T00:00:00Z
HARV,Negative,Alphavirus sp.,ALPHV,0,2019-05-30T00:00:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,0,2019-05-30T00:00:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,0,2019-05-30T00:00:00Z
HARV,Negative,Alphavirus sp.,ALPHV,0,2019-05-30T00:00:00Z
HARV,Negative,Alphavirus sp.,ALPHV,0,2019-05-30T00:00:00Z
HARV,Negative,Flavivirus sp.,FLAV1,0,2019-05-30T00:00:00Z
HARV,Negative,Alphavirus sp.,ALPHV,0,2019-05-30T00:00:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,0,2019-05-30T00:00:00Z
HARV,Negative,Flavivirus sp.,FLAV1,0,2019-05-30T00:00:00Z
HARV,Negative,Flavivirus sp.,FLAV1,0,2019-05-30T00:00:00Z
HARV,Negative,Alphavirus sp.,ALPHV,0,2019-05-30T00:00:00Z
HARV,Negative,Flavivirus sp.,FLAV1,0,2019-05-30T00:00:00Z
HARV,Negative,Flavivirus sp.,FLAV1,0,2019-05-30T00:00:00Z
HARV,Negative,Flavivirus sp.,FLAV1,0,2019-05-30T00:00:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,0,2019-05-30T00:00:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,0,2019-06-12T00:00:00Z
HARV,Negative,Alphavirus sp.,ALPHV,0,2019-06-12T00:00:00Z
