domainID,siteID,horizontalPosition,verticalPosition,startDateTime,endDateTime,tempTripleMean,tempTripleMinimum,tempTripleMaximum,tempTripleVariance,tempTripleNumPts,tempTripleExpUncert,tempTripleStdErMean,finalQF,publicationDate,release
D01,HARV,000,060,2019-06-01T00:00:00Z,2019-06-01T00:30:00Z,19.0098,18.5588,19.4139,0.0266,1800,0.0825,0.0038,0,20230213T171138Z,RELEASE-2024
D01,HARV,000,060,2019-06-01T00:30:00Z,2019-06-01T01:00:00Z,18.6757,18.3828,19.0659,0.0192,1800,0.0824,0.0033,0,20230213T171138Z,RELEASE-2024
D01,HARV,000,060,2019-06-01T01:00:00Z,2019-06-01T01:30:00Z,18.6612,18.3449,18.9988,0.0196,1800,0.0823,0.0033,0,20230213T171138Z,RELEASE-2024
D01,HARV,000,060,2019-06-01T01:30:00Z,2019-06-01T02:00:00Z,18.5802,17.6414,18.9899,0.0678,1800,0.0826,0.0061,0,20230213T171138Z,RELEASE-2024
D01,HARV,000,060,2019-06-01T02:00:00Z,2019-06-01T02:30:00Z,17.8721,17.5181,18.2179,0.0215,1800,0.0822,0.0035,0,20230213T171138Z,RELEASE-2024
D01,HARV,000,060,2019-06-01T02:30:00Z,2019-06-01T03:00:00Z,17.2177,16.7078,17.6669,0.0607,1800,0.0823,0.0058,0,20230213T171138Z,RELEASE-2024
D01,HARV,000,060,2019-06-01T03:00:00Z,2019-06-01T03:30:00Z,16.7131,16.4305,16.9614,0.0144,1800,0.0818,0.0028,0,20230213T171138Z,RELEASE-2024
D01,HARV,000,060,2019-06-01T03:30:00Z,2019-06-01T04:00:00Z,16.6994,16.3452,16.9236,0.0165,1800,0.0818,0.003,0,20230213T171138Z,RELEASE-2024
D01,HARV,000,060,2019-06-01T04:00:00Z,2019-06-01T04:30:00Z,16.8659,16.5916,17.0171,0.0068,1800,0.0818,0.0019,0,20230213T171138Z,RELEASE-2024
D01,HARV,000,060,2019-06-01T04:30:00Z,2019-06-01T05:00:00Z,16.7638,16.4588,17.0255,0.0149,1800,0.0818,0.0029,0,20230213T171138Z,RELEASE-2024
D01,HARV,000,060,2019-06-01T05:00:00Z,2019-06-01T05:30:00Z,16.1194,15.6403,16.5502,0.0464,1800,0.0819,0.0051,0,20230213T171138Z,RELEASE-2024
D01,HARV,000,060,2019-06-01T05:30:00Z,2019-06-01T06:00:00Z,15.6181,15.1833,15.974,0.0241,1800,0.0816,0.0037,0,20230213T171138Z,RELEASE-2024
D01,HARV,000,060,2019-06-01T06:00:00Z,2019-06-01T06:30:00Z,15.0883,14.7591,15.3984,0.0164,1800,0.0814,0.003,0,20230213T171138Z,RELEASE-2024
