uid,namedLocation,domainID,siteID,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startCollectDate,endCollectDate,testedDate,testingVialID,deprecatedVialID,dnaSampleID,dnaSampleCode,sampleCondition,testProtocolVersion,testMethod,testResult,testPathogenName,taxonID,testNumber,finalResult,batchID,cqValue,locus,percentIdentity,sequenceDatabase,sequenceDatabaseID,extractDepleted,remarks,testedBy,laboratoryName,publicationDate,release
765c2f22-f11c-46d9-a8c8-8ad6b4d6b2e3,HARV,D01,HARV,NA,42.53691,-72.17265,WGS84,NA,348.1,NA,2019-05-29T20:49:00Z,2019-05-30T22:37:00Z,2020-09-28T16:00:00Z,HARV.2019.21.AEDPUN.F.T.02,NA,HARV.2019.21.AEDPUN.F.T.02.DNA,QM00000002758,No known compromise,"genus-level virus screen of all samples, secondary pathogen-specific screen of positive samples; LMZ_Pathogen_testing_SOP_2018-07-12.pdf",PCR,Negative,Alphavirus sp.,ALPHV,1,Y,NEON_20200508,NA,NA,NA,NA,NA,N,NA,e5F0iKZ1YhA06ayX5FP6bQ==,University of Massachusetts Laboratory of Medical Zoology,20231227T170433Z,RELEASE-2024
acf4d3b4-96ff-4b4e-971b-0156870202d4,HARV,D01,HARV,NA,42.53691,-72.17265,WGS84,NA,348.1,NA,2019-05-29T20:49:00Z,2019-05-30T22:37:00Z,2020-09-28T16:00:00Z,HARV.2019.21.AEDPUN.F.T.09,NA,HARV.2019.21.AEDPUN.F.T.09.DNA,QM00000002765,No known compromise,"genus-level virus screen of all samples, secondary pathogen-specific screen of positive samples; LMZ_Pathogen_testing_SOP_2018-07-12.pdf",PCR,Negative,Flavivirus sp.,FLAV1,1,Y,NEON_20200508,NA,NA,NA,NA,NA,N,NA,e5F0iKZ1YhA06ayX5FP6bQ==,University of Massachusetts Laboratory of Medical Zoology,20231227T170433Z,RELEASE-2024
5e5ae36d-a618-466a-8d51-4ae872166823,HARV,D01,HARV,NA,42.53691,-72.17265,WGS84,NA,348.1,NA,2019-05-29T20:49:00Z,2019-05-30T22:37:00Z,2020-09-28T16:00:00Z,HARV.2019.21.AEDPUN.F.T.08,NA,HARV.2019.21.AEDPUN.F.T.08.DNA,QM00000002764,No known compromise,"genus-level virus screen of all samples, secondary pathogen-specific screen of positive samples; LMZ_Pathogen_testing_SOP_2018-07-12.pdf",PCR,Negative,Orthobunyavirus sp.,BUNV1,1,Y,NEON_20200508,NA,NA,NA,NA,NA,N,NA,e5F0iKZ1YhA06ayX5FP6bQ==,University of Massachusetts Laboratory of Medical Zoology,20231227T170433Z,RELEASE-2024
3b975dd9-4e54-44a9-b8b3-245063449b30,HARV,D01,HARV,NA,42.53691,-72.17265,WGS84,NA,348.1,NA,2019-05-29T20:49:00Z,2019-05-30T22:37:00Z,2020-09-28T16:00:00Z,HARV.2019.21.AEDCAN3.F.T.01,NA,HARV.2019.21.AEDCAN3.F.T.01.DNA,QM00000002756,No known compromise,"genus-level virus screen of all samples, secondary pathogen-specific screen of positive samples; LMZ_Pathogen_testing_SOP_2018-07-12.pdf",PCR,Negative,Flavivirus sp.,FLAV1,1,Y,NEON_20200508,NA,NA,NA,NA,NA,N,NA,e5F0iKZ1YhA06ayX5FP6bQ==,University of Massachusetts Laboratory of Medical Zoology,20231227T170433Z,RELEASE-2024
4cb751e6-0102-41e0-97b9-01baa40bef58,HARV,D01,HARV,NA,42.53691,-72.17265,WGS84,NA,348.1,NA,2019-05-29T20:49:00Z,2019-05-30T22:37:00Z,2020-09-28T16:00:00Z,HARV.2019.21.AEDCAN3.F.T.01,NA,HARV.2019.21.AEDCAN3.F.T.01.DNA,QM00000002756,No known compromise,"genus-level virus screen of all samples, secondary pathogen-specific screen of positive samples; LMZ_Pathogen_testing_SOP_2018-07-12.pdf",PCR,Negative,Alphavirus sp.,ALPHV,1,Y,NEON_20200508,NA,NA,NA,NA,NA,N,NA,e5F0iKZ1YhA06ayX5FP6bQ==,University of Massachusetts Laboratory of Medical Zoology,20231227T170433Z,RELEASE-2024
8880298a-46b9-4532-bee2-55c2de656f02,HARV,D01,HARV,NA,42.53691,-72.17265,WGS84,NA,348.1,NA,2019-05-29T20:49:00Z,2019-05-30T22:37:00Z,2020-09-28T16:00:00Z,HARV.2019.21.AEDPUN.F.T.04,NA,HARV.2019.21.AEDPUN.F.T.04.DNA,QM00000002760,No known compromise,"genus-level virus screen of all samples, secondary pathogen-specific screen of positive samples; LMZ_Pathogen_testing_SOP_2018-07-12.pdf",PCR,Negative,Orthobunyavirus sp.,BUNV1,1,Y,NEON_20200508,NA,NA,NA,NA,NA,N,NA,e5F0iKZ1YhA06ayX5FP6bQ==,University of Massachusetts Laboratory of Medical Zoology,20231227T170433Z,RELEASE-2024
1c1bd2c8-9c51-43c1-8843-79c49ea25db3,HARV,D01,HARV,NA,42.53691,-72.17265,WGS84,NA,348.1,NA,2019-05-29T20:49:00Z,2019-05-30T22:37:00Z,2020-09-28T16:00:00Z,HARV.2019.21.AEDPUN.F.T.07,NA,HARV.2019.21.AEDPUN.F.T.07.DNA,QM00000002763,No known compromise,"genus-level virus screen of all samples, secondary pathogen-specific screen of positive samples; LMZ_Pathogen_testing_SOP_2018-07-12.pdf",PCR,Negative,Flavivirus sp.,FLAV1,1,Y,NEON_20200508,NA,NA,NA,NA,NA,N,NA,e5F0iKZ1YhA06ayX5FP6bQ==,University of Massachusetts Laboratory of Medical Zoology,20231227T170433Z,RELEASE-2024
46af5b97-21d0-463c-ba51-a1b88d948675,HARV,D01,HARV,NA,42.53691,-72.17265,WGS84,NA,348.1,NA,2019-05-29T20:49:00Z,2019-05-30T22:37:00Z,2020-09-28T16:00:00Z,HARV.2019.21.AEDPUN.F.T.05,NA,HARV.2019.21.AEDPUN.F.T.05.DNA,QM00000002761,No known compromise,"genus-level virus screen of all samples, secondary pathogen-specific screen of positive samples; LMZ_Pathogen_testing_SOP_2018-07-12.pdf",PCR,Negative,Alphavirus sp.,ALPHV,1,Y,NEON_20200508,NA,NA,NA,NA,NA,N,NA,e5F0iKZ1YhA06ayX5FP6bQ==,University of Massachusetts Laboratory of Medical Zoology,20231227T170433Z,RELEASE-2024
a14a5c49-2d08-4353-ac7a-b755d6e13068,HARV,D01,HARV,NA,42.53691,-72.17265,WGS84,NA,348.1,NA,2019-05-29T20:49:00Z,2019-05-30T22:37:00Z,2020-09-28T16:00:00Z,HARV.2019.21.AEDPUN.F.T.01,NA,HARV.2019.21.AEDPUN.F.T.01.DNA,QM00000002757,No known compromise,"genus-level virus screen of all samples, secondary pathogen-specific screen of positive samples; LMZ_Pathogen_testing_SOP_2018-07-12.pdf",PCR,Negative,Orthobunyavirus sp.,BUNV1,1,Y,NEON_20200508,NA,NA,NA,NA,NA,N,NA,e5F0iKZ1YhA06ayX5FP6bQ==,University of Massachusetts Laboratory of Medical Zoology,20231227T170433Z,RELEASE-2024
5d2bb5ee-fa27-41bf-b4b2-f3e13da68e67,HARV,D01,HARV,NA,42.53691,-72.17265,WGS84,NA,348.1,NA,2019-05-29T20:49:00Z,2019-05-30T22:37:00Z,2020-09-28T16:00:00Z,HARV.2019.21.AEDPUN.F.T.09,NA,HARV.2019.21.AEDPUN.F.T.09.DNA,QM00000002765,No known compromise,"genus-level virus screen of all samples, secondary pathogen-specific screen of positive samples; LMZ_Pathogen_testing_SOP_2018-07-12.pdf",PCR,Negative,Orthobunyavirus sp.,BUNV1,1,Y,NEON_20200508,NA,NA,NA,NA,NA,N,NA,e5F0iKZ1YhA06ayX5FP6bQ==,University of Massachusetts Laboratory of Medical Zoology,20231227T170433Z,RELEASE-2024
