table,fieldName,description,dataType,units,downloadPkg,pubFormat,primaryKey,categoricalCodeName
TAAT_1min,domainID,Unique identifier of the NEON domain,string,NA,appended by stackByTable,NA,N,NA
TAAT_1min,siteID,NEON site code,string,NA,appended by stackByTable,NA,N,NA
TAAT_1min,horizontalPosition,Index of horizontal location at a NEON site,string,NA,appended by stackByTable,NA,N,NA
TAAT_1min,verticalPosition,Index of vertical location at a NEON site,string,NA,appended by stackByTable,NA,N,NA
TAAT_1min,startDateTime,Date and time at which a sampling is initiated,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z'(floor),NA,NA
TAAT_1min,endDateTime,Date and time at which a sampling is completed,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z'(floor),NA,NA
TAAT_1min,tempTripleMean,Arithmetic mean of triple aspirated air temperature,real,celsius,basic,*.####(round),NA,NA
TAAT_1min,tempTripleMinimum,Minimum triple aspirated air temperature,real,celsius,basic,*.####(round),NA,NA
TAAT_1min,tempTripleMaximum,Maximum triple aspirated air temperature,real,celsius,basic,*.####(round),NA,NA
TAAT_1min,tempTripleVariance,Variance in triple aspirated air temperature,real,celsiusSquared,basic,*.####(round),NA,NA
TAAT_1min,tempTripleNumPts,Number of points used to calculate the arithmetic mean of triple aspirated air temperature,real,number,basic,*.####(round),NA,NA
TAAT_1min,tempTripleExpUncert,Expanded uncertainty for triple aspirated air temperature,real,celsius,basic,*.####(round),NA,NA
TAAT_1min,tempTripleStdErMean,Standard error of the mean for triple aspirated air temperature,real,celsius,basic,*.####(round),NA,NA
TAAT_1min,rangeFailQM,"Quality metric that summarizes the failed outcomes of the range test over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,rangePassQM,"Quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,rangeNAQM,"Quality metric that summarizes when the range test could not be run over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,persistenceFailQM,"Quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,persistencePassQM,"Quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,persistenceNAQM,"Quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,stepFailQM,"Quality metric that summarizes the failed outcomes of the step test over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,stepPassQM,"Quality metric that summarizes the passed outcomes of the step test over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,stepNAQM,"Quality metric that summarizes when the step test could not be run over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,nullFailQM,"Quality metric that summarizes the failed outcomes of the null test over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,nullPassQM,"Quality metric that summarizes the passed outcomes of the null test over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,nullNAQM,"Quality metric that summarizes when the null test could not be run over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,gapFailQM,"Quality metric that summarizes the failed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,gapPassQM,"Quality metric that summarizes the passed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,gapNAQM,"Quality metric that summarizes when the gap test could not be run over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,spikeFailQM,"Quality metric that summarizes the failed outcomes of the spike test over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,spikePassQM,"Quality metric that summarizes the passed outcomes of the spike test over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,spikeNAQM,"Quality metric that summarizes when the spike test could not be run over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,flowFailQM,"Quality metric that summarizes the failed outcomes of the flow rate test over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,flowPassQM,"Quality metric that summarizes the passed outcomes of the flow rate test over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,flowNAQM,"Quality metric that summarizes when the flow rate test could not be run over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,heaterFailQM,"Quality metric that summarizes when the heater was on over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,heaterPassQM,"Quality metric that summarizes when the heater was off over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,heaterNAQM,"Quality metric that summarizes when the heater status was unknown over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,validCalFailQM,"Quality metric that summarizes the failed outcomes of the valid calibration check over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,validCalPassQM,"Quality metric that summarizes the passed outcomes of the valid calibration check over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,validCalNAQM,"Quality metric that summarizes when the valid calibration check could not be run over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,alphaQM,"Quality metric detailing the outcomes of the alpha quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,betaQM,"Quality metric detailing the outcomes of the beta quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,finalQF,"Quality flag indicating whether a data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)",unsigned integer,NA,basic,integer,NA,NA
