siteID,testResult,testPathogenName,taxonID,startCollectDate,endCollectDate
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-11T20:04:00Z,2016-05-13T13:22:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-11T20:04:00Z,2016-05-13T13:22:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-11T20:04:00Z,2016-05-13T13:22:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-11T20:04:00Z,2016-05-13T13:22:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-11T20:04:00Z,2016-05-13T13:22:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-11T20:04:00Z,2016-05-13T13:22:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-11T20:04:00Z,2016-05-13T13:22:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-11T20:04:00Z,2016-05-13T13:22:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-11T20:04:00Z,2016-05-13T13:22:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-11T20:04:00Z,2016-05-13T13:22:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-11T20:04:00Z,2016-05-13T13:22:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-11T20:04:00Z,2016-05-13T13:22:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-11T20:04:00Z,2016-05-13T13:22:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-11T20:04:00Z,2016-05-13T13:22:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-11T20:04:00Z,2016-05-13T13:22:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-11T20:04:00Z,2016-05-13T13:22:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-11T20:04:00Z,2016-05-13T13:22:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-11T20:04:00Z,2016-05-13T13:22:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-11T20:29:00Z,2016-05-13T12:46:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-11T20:29:00Z,2016-05-13T12:46:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-11T20:29:00Z,2016-05-13T12:46:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-24T20:21:00Z,2016-05-26T11:14:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-24T20:21:00Z,2016-05-26T11:14:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-24T20:21:00Z,2016-05-26T11:14:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-24T20:21:00Z,2016-05-26T11:14:00Z
