siteID,startDateTime,endDateTime,tempTripleMean,tempTripleMaximum,tempTripleMinimum,tempTripleVariance
HARV,2019-06-01T00:00:00Z,2019-06-01T00:30:00Z,19.0098,19.4139,18.5588,0.0266
HARV,2019-06-01T00:30:00Z,2019-06-01T01:00:00Z,18.6757,19.0659,18.3828,0.0192
HARV,2019-06-01T01:00:00Z,2019-06-01T01:30:00Z,18.6612,18.9988,18.3449,0.0196
HARV,2019-06-01T01:30:00Z,2019-06-01T02:00:00Z,18.5802,18.9899,17.6414,0.0678
HARV,2019-06-01T02:00:00Z,2019-06-01T02:30:00Z,17.8721,18.2179,17.5181,0.0215
HARV,2019-06-01T02:30:00Z,2019-06-01T03:00:00Z,17.2177,17.6669,16.7078,0.0607
HARV,2019-06-01T03:00:00Z,2019-06-01T03:30:00Z,16.7131,16.9614,16.4305,0.0144
HARV,2019-06-01T03:30:00Z,2019-06-01T04:00:00Z,16.6994,16.9236,16.3452,0.0165
HARV,2019-06-01T04:00:00Z,2019-06-01T04:30:00Z,16.8659,17.0171,16.5916,0.0068
HARV,2019-06-01T04:30:00Z,2019-06-01T05:00:00Z,16.7638,17.0255,16.4588,0.0149
HARV,2019-06-01T05:00:00Z,2019-06-01T05:30:00Z,16.1194,16.5502,15.6403,0.0464
HARV,2019-06-01T05:30:00Z,2019-06-01T06:00:00Z,15.6181,15.974,15.1833,0.0241
HARV,2019-06-01T06:00:00Z,2019-06-01T06:30:00Z,15.0883,15.3984,14.7591,0.0164
HARV,2019-06-01T06:30:00Z,2019-06-01T07:00:00Z,14.505,15.1252,14.0989,0.0385
HARV,2019-06-01T07:00:00Z,2019-06-01T07:30:00Z,13.8779,14.524,13.4922,0.0475
HARV,2019-06-01T07:30:00Z,2019-06-01T08:00:00Z,13.4224,13.7995,12.9929,0.0236
HARV,2019-06-01T08:00:00Z,2019-06-01T08:30:00Z,12.6381,13.1703,12.2169,0.0455
HARV,2019-06-01T08:30:00Z,2019-06-01T09:00:00Z,12.4952,12.9487,11.9197,0.0901
HARV,2019-06-01T09:00:00Z,2019-06-01T09:30:00Z,11.7549,12.0975,11.204,0.0301
HARV,2019-06-01T09:30:00Z,2019-06-01T10:00:00Z,11.2133,11.6027,10.8577,0.028
HARV,2019-06-01T10:00:00Z,2019-06-01T10:30:00Z,11.1713,11.5817,10.6991,0.0344
HARV,2019-06-01T10:30:00Z,2019-06-01T11:00:00Z,11.1873,12.2559,10.5844,0.2227
HARV,2019-06-01T11:00:00Z,2019-06-01T11:30:00Z,13.0756,13.4393,12.2174,0.104
HARV,2019-06-01T11:30:00Z,2019-06-01T12:00:00Z,13.1533,13.4654,12.7962,0.0312
HARV,2019-06-01T12:00:00Z,2019-06-01T12:30:00Z,13.3931,13.4796,13.2518,0.0017
HARV,2019-06-01T12:30:00Z,2019-06-01T13:00:00Z,13.9737,15.0025,13.4005,0.1887
HARV,2019-06-01T13:00:00Z,2019-06-01T13:30:00Z,15.3017,15.6788,14.7204,0.0414
HARV,2019-06-01T13:30:00Z,2019-06-01T14:00:00Z,16.0072,16.684,15.3232,0.1121
HARV,2019-06-01T14:00:00Z,2019-06-01T14:30:00Z,16.8761,17.6907,16.3037,0.1005
HARV,2019-06-01T14:30:00Z,2019-06-01T15:00:00Z,18.0408,18.8589,17.3815,0.1032
HARV,2019-06-01T15:00:00Z,2019-06-01T15:30:00Z,19.0087,20.1,18.1743,0.1851
HARV,2019-06-01T15:30:00Z,2019-06-01T16:00:00Z,19.7116,20.8732,19.1236,0.1205
HARV,2019-06-01T16:00:00Z,2019-06-01T16:30:00Z,20.4748,21.2125,19.9817,0.0692
HARV,2019-06-01T16:30:00Z,2019-06-01T17:00:00Z,20.9796,21.9516,20.3343,0.1401
HARV,2019-06-01T17:00:00Z,2019-06-01T17:30:00Z,21.142,21.9597,20.4185,0.0985
HARV,2019-06-01T17:30:00Z,2019-06-01T18:00:00Z,21.1696,21.7019,20.5245,0.0605
HARV,2019-06-01T18:00:00Z,2019-06-01T18:30:00Z,21.4417,22.014,20.8862,0.059
HARV,2019-06-01T18:30:00Z,2019-06-01T19:00:00Z,21.6019,22.4437,21.0065,0.1656
HARV,2019-06-01T19:00:00Z,2019-06-01T19:30:00Z,21.756,22.5056,21.1343,0.0904
HARV,2019-06-01T19:30:00Z,2019-06-01T20:00:00Z,21.8565,22.265,21.3232,0.0555
HARV,2019-06-01T20:00:00Z,2019-06-01T20:30:00Z,22.0498,22.4202,21.758,0.0276
HARV,2019-06-01T20:30:00Z,2019-06-01T21:00:00Z,22.2657,22.5211,22.1008,0.0088
HARV,2019-06-01T21:00:00Z,2019-06-01T21:30:00Z,22.0148,22.1608,21.8509,0.0077
HARV,2019-06-01T21:30:00Z,2019-06-01T22:00:00Z,21.982,22.1994,21.831,0.0105
HARV,2019-06-01T22:00:00Z,2019-06-01T22:30:00Z,21.4974,21.8313,21.2084,0.0242
HARV,2019-06-01T22:30:00Z,2019-06-01T23:00:00Z,20.9772,21.2117,20.7678,0.0151
HARV,2019-06-01T23:00:00Z,2019-06-01T23:30:00Z,20.5535,20.7881,20.266,0.0192
